Ascension,Name,Effect,Details
A1,敵HP上昇,敵のHPが1.5倍に増加,
A2,ショップアイテム減少,杖-1/スペル-2,
A3,HP減少スタート,開始時のHPが70,
A4,神の怒り,神が怒りっぽくなる,1回山を割ったらスコウド
A5,呪文枠減少,呪文スロットが-6,
A6,上昇力減少,上昇ゲージが70%,
A7,ポーション量減少,ポーションの量が75%に減少,
A8,石板なし,石板が出現しない,
A9,回復効率低下,HP回復が80%になる,
A10,パーク数減少,パークスロットが-1,
A11,モンスター増加,モンスター出現率が1.2倍,
A12,時間制限,1:30:00経過後、スリップダメージが入るようになる,1秒に1HP減少
A13,きのこシフト,開始時にきのこシフトが発生,
A14,エリア効果矯正付与,各バイオームは必ず変化が起きる
A15,杖枠減少,杖を持てる数が-1,
A16,山の水減少,山の水が少なくなる,魚の方のみにして、魚側も50%カットする
A17,耐性なし,Noitaくんの耐性を剥ぐ。,どこまで剥ぐかは要検討。
A18,アイテム枠減少,手持ちアイテム枠が-1,
A19,リフレッシャーなし,リフレッシャーが出現しない,
A20,最終試練,2オーブコルミがデフォルト,上山は破壊
