Ascension,Name,Effect,Details
A1,敵強化,敵が以前よりもタフになったようです,敵のHPが1.5倍に増加/コルミをオーブ2へ
A2,ショップアイテム高騰,ショップの維持費が商品に転嫁されました,割引とは被らないようにする/杖2/スペル4高騰化
A3,HP減少スタート,あなたは少し脆くなってしまいました,HP70
A4,神の怒り,神は今、虫の居所が悪いようです,1回山を割ったらスコウド/追加でドクロ2体
A5,呪文枠減少,あなたの呪文バッグが小さくなっている気がします,呪文保持枠が6個減る
A6,上昇力減少,以前よりも高く飛べなくなりました,上昇ゲージが70%,
A7,ポーション量減少,ポーションの量が50%に減少,
A8,石板なし,石板が出現しない,
A9,パーク数減少,選択できるパークが-1,
A10,きのこシフト,一定間隔できのこシフトが発生,15分ごと
A11,モンスター増加,モンスター増加,モンスターを複製で増やしてだす/割合については要テスト
A12,山がカラカラ,山の水がほぼなくなる,水だけにして魚はなし
A13,エリート出現,雰囲気の違う敵が現れたようです,エリート個体を用意/10%の確率で対象がエリートに。エリート個体は色を反転させる。Nightmareの実装を参照,
A14,ゴールド消失が加速,,ゴールドはあなたを待たなくなりました,
A15,壊れた呪文,呪文の生成にイレギュラーが発生しています,呪文の性能を一部変更する5割の確率。詠唱遅延、リチャージ、ダメージ、使用回数のどれか1つが減る、使用回数が付与される、拡散が増える。
A16,エリア効果矯正付与,バイオームの様子がいつもと違います,常にバイオーム変化が起きるようになる
A17,加速制限,八咫烏の羽音が響く時サンポは応えます,カラスがいない場合、サンポを拾えない。敵レーダーみたいにカラスの位置は表示させる,
A18,リフレッシャーなし,リフレッシャーが出現しない,
A19,最終試練,5オーブコルミがデフォルト,上山は破壊
A19,NewGame+がクリア,サンポは新しい世界で真価を発揮します,,
A17,アイテム制限,サンポを得るには船が必要です,船の帆、船体を持っていく必要がある。パーツをどこで手に入れるかは未定,

