_,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,,,,,,,,,,,,
kaleva_koetus_ascension,"Ascension","Вознесение","Ascensão","Ascensión","Aufstieg","Ascension","Ascensione","Wniebowstąpienie","试炼","試練","시련",,,,,,,,,,,,,
kaleva_koetus_description_a1,"Enemies seem tougher than before","Похоже, враги стали крепче","Os inimigos parecem mais resistentes","Los enemigos parecen más duros","Feinde scheinen zäher zu sein","Les ennemis semblent plus résistants","I nemici sembrano più forti","Nieprzyjaciele wydają się twardsi","敌人似乎变得更强了","敵が以前よりもタフになったようです","적들이 전보다 단단해진 것 같습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a1,"Enemy HP increases. Bosses are stronger.","Здоровье врагов увеличено. Боссы стали сильнее.","A vida dos inimigos aumenta. Chefes estão mais fortes.","La vida de los enemigos aumenta. Los jefes son más poderosos.","Die HP der Feinde steigen. Bosse sind stärker.","Les PV des ennemis augmentent. Les boss sont plus puissants.","La salute dei nemici aumenta. I boss sono più forti.","Punkty życia wrogów wzrastają. Bossowie są silniejsi.","敌人的生命值增加，首领也更强。","敵のHPが増える。ボスも強くなっている。","적의 HP가 증가하며 보스도 강해집니다",,,,,,,,,,,,,
kaleva_koetus_description_a2,"Shop maintenance costs have been passed to customers","Похоже, лавки подняли цены","Os custos de manutenção da loja foram repassados","Los costos de mantenimiento se reflejan en los precios","Die Ladenpreise wurden wegen Unterhalt erhöht","Les coûts d'entretien des boutiques ont été répercutés","Il costo di manutenzione dei negozi è aumentato","Sklepy podniosły ceny z powodu kosztów utrzymania","商店的维护费用反映在商品价格上","ショップの維持費が商品に転嫁されました","가게의 유지비가 가격에 반영되었습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a2,"Prices rise. 4 spells and 2 wands affected.","Цены выросли. Затронуто 4 заклинания и 2 жезла.","Os preços aumentam. 4 feitiços e 2 varinhas são afetados.","Los precios suben. 4 hechizos y 2 varitas afectados.","Die Preise steigen. 4 Zauber und 2 Zauberstäbe betroffen.","Les prix augmentent. 4 sorts et 2 baguettes affectés.","I prezzi aumentano. 4 incantesimi e 2 bacchette sono colpiti.","Ceny wzrastają. 4 zaklęcia i 2 różdżki są dotknięte.","价格上涨。影响4个法术和2根魔杖。","商品の値段が高騰する。呪文は4つ、杖は2つが対象。","가격이 상승합니다. 주문 4개와 지팡이 2개에 영향",,,,,,,,,,,,,
kaleva_koetus_description_a3,"You feel a bit frailer","Ты чувствуешь себя хрупким","Você se sente mais frágil","Te sientes más frágil","Du fühlst dich zerbrechlicher","Vous vous sentez plus fragile","Ti senti più fragile","Czujesz się słabszy","你变得更脆弱了","あなたは少し脆くなってしまいました","당신은 약해진 느낌입니다",,,,,,,,,,,,,
kaleva_koetus_specification_a3,"Your HP becomes 70.","Твое здоровье теперь 70.","Sua vida máxima é reduzida para 70.","Tu vida máxima baja a 70.","Deine HP werden auf 70 reduziert.","Vos PV sont fixés à 70.","I tuoi HP diventano 70.","Twoje HP spada do 70.","你的生命值变为70。","自身のHPが70になる。","최대 HP가 70으로 감소합니다",,,,,,,,,,,,,
kaleva_koetus_description_a4,"The gods are in a foul mood","Боги раздражены","Os deuses estão de mau humor","Los dioses están irritables","Die Götter sind schlecht gelaunt","Les dieux sont de mauvaise humeur","Gli dèi sono irritati","Bogowie są w złym humorze","众神心情不好","神は今、虫の居所が悪いようです","신들이 불쾌한 기분입니다",,,,,,,,,,,,,
kaleva_koetus_specification_a4,"Destroying the Holy Mountain angers them faster.","Разрушение Святой Горы сильнее злит богов.","Destruir a Montanha Sagrada enfurece os deuses mais rápido.","Destruir la Montaña Sagrada los enfurece más rápido.","Das Zerstören des Heiligen Berges erzürnt sie stärker.","Détruire la Montagne Sacrée les met en colère plus vite.","Distruggere la Montagna Sacra li fa infuriare prima.","Zniszczenie Świętej Góry bardziej ich rozwściecza.","摧毁圣山会更快激怒他们。","聖なる山を破壊したときのイベントが強化される、ステヴァリを倒すとすぐに激怒する。","성산을 파괴하면 그들의 분노가 더 빨리 폭발합니다",,,,,,,,,,,,,
kaleva_koetus_description_a5,"Your spell bag feels smaller","Твоя сумка для заклинаний стала меньше","Sua bolsa de feitiços parece menor","Tu bolsa de hechizos parece más pequeña","Deine Zaubertasche wirkt kleiner","Votre sac à sorts semble plus petit","La tua borsa degli incantesimi è più piccola","Twoja torba na zaklęcia jest mniejsza","你的法术袋变小了","あなたの呪文バッグが小さくなっている気がします","주문 가방이 작아진 것 같습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a5,"You lose 6 spell slots.","Ты теряешь 6 ячеек для заклинаний.","Você perde 6 espaços de feitiço.","Pierdes 6 ranuras de hechizo.","Du verlierst 6 Zauberplätze.","Vous perdez 6 emplacements de sort.","Perdi 6 slot incantesimo.","Tracisz 6 miejsc na zaklęcia.","失去6个法术槽。","呪文保持枠が6個減る。","주문 슬롯이 6개 줄어듭니다",,,,,,,,,,,,,
kaleva_koetus_description_a6,"You can no longer fly as high","Ты не можешь летать так высоко","Você não pode voar tão alto","Ya no puedes volar tan alto","Du kannst nicht mehr so hoch fliegen","Vous ne pouvez plus voler aussi haut","Non puoi più volare così in alto","Już nie możesz latać tak wysoko","你飞得不如以前高了","以前よりも高く飛べなくなりました","이전보다 높이 날 수 없습니다",,,,,,,,,,,,,
kaleva_koetus_specification_a6,"Flight meter reduced to 70%.","Полётная шкала уменьшена до 70%.","Medidor de voo reduzido para 70%.","Medidor de vuelo reducido al 70%.","Fluganzeige auf 70% reduziert.","Jauge de vol réduite à 70%.","Indicatore di volo ridotto al 70%.","Wskaźnik lotu zmniejszony do 70%.","飞行槽降至70%。","上昇ゲージが70%になる。","비행 게이지가 70%로 감소합니다",,,,,,,,,,,,,
kaleva_koetus_description_a7,"Potions feel lighter than before","Зелья стали легче","As poções parecem mais leves","Las pociones parecen más ligeras","Tränke scheinen leichter zu sein","Les potions semblent plus légères","Le pozioni sembrano più leggere","Mikstury wydają się lżejsze","药水似乎变轻了","ポーションが以前よりも軽量になりました","포션이 전보다 가벼워진 것 같습니다",,,,,,,,,,,,,
